REGION,WEEK,ILITOTAL
Montana,5/12/2018,2
Nebraska,5/12/2018,101
Nevada,5/12/2018,115
New Hampshire,5/12/2018,13
New Jersey,5/12/2018,498
New Mexico,5/12/2018,234
New York,5/12/2018,165
North Carolina,5/12/2018,96
North Dakota,5/12/2018,1
Ohio,5/12/2018,70
Oklahoma,5/12/2018,24
Oregon,5/12/2018,311
Pennsylvania,5/12/2018,495
Rhode Island,5/12/2018,25
South Carolina,5/12/2018,35
South Dakota,5/12/2018,42
Tennessee,5/12/2018,25
Texas,5/12/2018,509
Utah,5/12/2018,360
Vermont,5/12/2018,29
Virginia,5/12/2018,577
Washington,5/12/2018,25
West Virginia,5/12/2018,52
Wisconsin,5/12/2018,81
Wyoming,5/12/2018,16
Alabama,5/19/2018,417
Alaska,5/19/2018,113
Arizona,5/19/2018,357
Arkansas,5/19/2018,27
California,5/19/2018,708
Colorado,5/19/2018,97
Connecticut,5/19/2018,25
Delaware,5/19/2018,1
Georgia,5/19/2018,902
Hawaii,5/19/2018,14
Idaho,5/19/2018,3
Illinois,5/19/2018,387
Indiana,5/19/2018,29
Iowa,5/19/2018,6
Kansas,5/19/2018,44
Kentucky,5/19/2018,40
Louisiana,5/19/2018,1034
Maine,5/19/2018,5
Maryland,5/19/2018,72
Massachusetts,5/19/2018,339
Michigan,5/19/2018,152
Minnesota,5/19/2018,73
Mississippi,5/19/2018,310
Missouri,5/19/2018,7
Montana,5/19/2018,0
Nebraska,5/19/2018,98
Nevada,5/19/2018,77
New Hampshire,5/19/2018,11
New Jersey,5/19/2018,440
New Mexico,5/19/2018,208
New York,5/19/2018,131
North Carolina,5/19/2018,63
North Dakota,5/19/2018,2
Ohio,5/19/2018,69
Oklahoma,5/19/2018,16
Oregon,5/19/2018,272
Pennsylvania,5/19/2018,407
Rhode Island,5/19/2018,13
South Carolina,5/19/2018,42
South Dakota,5/19/2018,53
Tennessee,5/19/2018,22
Texas,5/19/2018,391
Utah,5/19/2018,374
Vermont,5/19/2018,26
Virginia,5/19/2018,1003
Washington,5/19/2018,21
West Virginia,5/19/2018,50
Wisconsin,5/19/2018,89
Wyoming,5/19/2018,14
Alabama,5/26/2018,358
Alaska,5/26/2018,104
Arizona,5/26/2018,342
Arkansas,5/26/2018,23
California,5/26/2018,690
Colorado,5/26/2018,72
Connecticut,5/26/2018,42
Delaware,5/26/2018,1
Georgia,5/26/2018,768
Hawaii,5/26/2018,22
Idaho,5/26/2018,6
Illinois,5/26/2018,366
Indiana,5/26/2018,30
Iowa,5/26/2018,3
Kansas,5/26/2018,30
Kentucky,5/26/2018,26
Louisiana,5/26/2018,989
Maine,5/26/2018,7
Maryland,5/26/2018,47
Massachusetts,5/26/2018,337
Michigan,5/26/2018,127
Minnesota,5/26/2018,55
Mississippi,5/26/2018,301
Missouri,5/26/2018,4
Montana,5/26/2018,0
Nebraska,5/26/2018,124
Nevada,5/26/2018,70
New Hampshire,5/26/2018,7
New Jersey,5/26/2018,470
New Mexico,5/26/2018,170
New York,5/26/2018,99
North Carolina,5/26/2018,60
North Dakota,5/26/2018,9
Ohio,5/26/2018,75
Oklahoma,5/26/2018,19
Oregon,5/26/2018,255
Pennsylvania,5/26/2018,378
Rhode Island,5/26/2018,9
South Carolina,5/26/2018,27
South Dakota,5/26/2018,54
Tennessee,5/26/2018,33
Texas,5/26/2018,441
Utah,5/26/2018,315
Vermont,5/26/2018,13
Virginia,5/26/2018,981
Washington,5/26/2018,11
West Virginia,5/26/2018,41
Wisconsin,5/26/2018,84
Wyoming,5/26/2018,14
Alabama,6/2/2018,386
Alaska,6/2/2018,75
Arizona,6/2/2018,325
Arkansas,6/2/2018,21
California,6/2/2018,581
Colorado,6/2/2018,78
Connecticut,6/2/2018,7
Delaware,6/2/2018,0
Georgia,6/2/2018,768
Hawaii,6/2/2018,12
Idaho,6/2/2018,1
Illinois,6/2/2018,323
Indiana,6/2/2018,28
Iowa,6/2/2018,0
Kansas,6/2/2018,21
Kentucky,6/2/2018,20
Louisiana,6/2/2018,888
Maine,6/2/2018,2
Maryland,6/2/2018,68
Massachusetts,6/2/2018,248
Michigan,6/2/2018,93
Minnesota,6/2/2018,43
Mississippi,6/2/2018,293
Missouri,6/2/2018,5
Montana,6/2/2018,0
Nebraska,6/2/2018,108
Nevada,6/2/2018,97
New Hampshire,6/2/2018,6
New Jersey,6/2/2018,432
New Mexico,6/2/2018,203
New York,6/2/2018,99
North Carolina,6/2/2018,27
North Dakota,6/2/2018,3
Ohio,6/2/2018,53
Oklahoma,6/2/2018,8
Oregon,6/2/2018,280
Pennsylvania,6/2/2018,373
Rhode Island,6/2/2018,4
South Carolina,6/2/2018,24
South Dakota,6/2/2018,32
Tennessee,6/2/2018,16
Texas,6/2/2018,334
Utah,6/2/2018,364
Vermont,6/2/2018,13
Virginia,6/2/2018,972
Washington,6/2/2018,1
West Virginia,6/2/2018,20
Wisconsin,6/2/2018,75
Wyoming,6/2/2018,10
Alabama,6/9/2018,286
Alaska,6/9/2018,70
Arizona,6/9/2018,180
Arkansas,6/9/2018,17
California,6/9/2018,571
Colorado,6/9/2018,66
Connecticut,6/9/2018,7
Delaware,6/9/2018,0
Georgia,6/9/2018,638
Hawaii,6/9/2018,17
Idaho,6/9/2018,2
Illinois,6/9/2018,224
Indiana,6/9/2018,29
Iowa,6/9/2018,0
Kansas,6/9/2018,17
Kentucky,6/9/2018,14
Louisiana,6/9/2018,743
Maine,6/9/2018,0
Maryland,6/9/2018,92
Massachusetts,6/9/2018,193
Michigan,6/9/2018,72
Minnesota,6/9/2018,28
Mississippi,6/9/2018,222
Missouri,6/9/2018,2
